Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
Joe Banyard,JAX,RB,2,2,7,3.5,7,0,7,0,0,0,0,0
Jeremy Hill,CIN,RB,222,14.8,839,3.8,55.9,9,74T,42,18.9,5,3,0
Donnie Jones,PHI,P,1,0.1,0,0,0,0,0,0,0,0,0,1
Rashad Jennings,NYG,RB,181,13.9,593,3.3,45.6,3,25,29,16,3,0,0
Cardale Jones,BUF,QB,1,1,-1,-1,-1,0,-1,0,0,0,0,0
Javorius Allen,BAL,RB,9,1.1,34,3.8,4.2,0,7,0,0,0,0,0
Jamaal Charles,KC,RB,12,4,40,3.3,13.3,1,17,3,25,0,0,0
Jon Ryan,SEA,P,2,0.1,26,13,1.6,0,26,1,50,1,0,1
Jonathan Grimes,HOU,RB,23,2.3,105,4.6,10.5,0,14,5,21.7,0,0,0
James Starks,GB,RB,63,7,145,2.3,16.1,0,11,9,14.3,0,0,0
Jeremy Langford,CHI,RB,62,5.2,200,3.2,16.7,4,23,12,19.4,1,0,2
Don Jackson,GB,RB,10,3.3,32,3.2,10.7,0,7,1,10,0,0,0
Kenjon Barner,PHI,RB,27,2.1,129,4.8,9.9,2,19,9,33.3,0,0,0
Tajae Sharpe,TEN,WR,1,0.1,1,1,0.1,0,1,0,0,0,0,0
Jimmy Graham,SEA,TE,1,0.1,0,0,0,0,0,0,0,0,0,0
J.D. McKissic,SEA,RB,1,1,2,2,2,0,2,0,0,0,0,0
Landry Jones,PIT,QB,6,0.8,-4,-0.7,-0.5,0,0,0,0,0,0,0
Jarvis Landry,MIA,WR,5,0.3,17,3.4,1.1,0,13,1,20,0,0,0
Jakeem Grant,MIA,WR,1,0.1,1,1,0.1,0,1,0,0,0,0,0
Jordan Berry,PIT,P,1,0.1,-3,-3,-0.2,0,-3,0,0,0,0,1
John Brown,ARI,WR,1,0.1,10,10,0.7,0,10,1,100,0,0,0
Matt Jones,WAS,RB,99,14.1,460,4.6,65.7,3,57,28,28.3,3,1,3
Josh McCown,CLE,QB,7,1.4,21,3,4.2,0,7,0,0,0,0,2
Jordan Todman,IND,RB,9,0.6,59,6.6,3.7,0,19,3,33.3,0,0,0
Josh Bellamy,CHI,WR,4,0.2,37,9.3,2.3,0,22,2,50,1,0,0
Travis Benjamin,SD,WR,2,0.1,-3,-1.5,-0.2,0,-1,0,0,0,0,0
Jay Prosch,HOU,FB,4,0.3,9,2.3,0.6,0,5,3,75,0,0,0
Jay Cutler,CHI,QB,5,1,24,4.8,4.8,0,12,1,20,0,0,1
DuJuan Harris,SF,RB,38,3.8,138,3.6,13.8,0,19,6,15.8,0,0,1
Jared Goff,LA,QB,8,1.1,16,2,2.3,1,6,1,12.5,0,0,0
John Kuhn,NO,FB,18,1.1,37,2.1,2.3,4,4,12,66.7,0,0,0
Josh Huff,TB,WR,1,0.3,5,5,1.7,0,5,0,0,0,0,0
C.J. Anderson,DEN,RB,110,15.7,437,4,62.4,4,28,22,20,1,0,0
Jerome Felton,BUF,FB,8,0.5,13,1.6,0.9,0,6,5,62.5,0,0,0
Juwan Thompson,DEN,RB,8,1,26,3.3,3.2,1,14,2,25,0,0,0
Joe Flacco,BAL,QB,21,1.3,58,2.8,3.6,2,16,6,28.6,0,0,1
Josh Ferguson,IND,RB,15,0.9,20,1.3,1.2,0,11,0,0,0,0,0
James Wright,CIN,WR,2,0.2,-6,-3,-0.5,0,2,1,50,0,0,0
EJ Manuel,BUF,QB,8,1.3,22,2.8,3.7,0,8,3,37.5,0,0,1
Jamize Olawale,OAK,FB,17,1.1,47,2.8,2.9,2,17,5,29.4,0,0,0
Jacquizz Rodgers,TB,RB,129,12.9,560,4.3,56,2,45,29,22.5,3,1,0
Jay Ajayi,MIA,RB,260,17.3,"1,272",4.9,84.8,8,62T,60,23.1,10,4,4
Kyle Juszczyk,BAL,FB,5,0.3,22,4.4,1.4,1,10T,3,60,0,0,0
C.J. Prosise,SEA,RB,30,5,172,5.7,28.7,1,72T,3,10,1,1,0
Chris Johnson,ARI,RB,25,6.2,95,3.8,23.8,1,18,5,20,0,0,0
Jimmy Garoppolo,NE,QB,10,1.7,6,0.6,1,0,10,1,10,0,0,1
Jonathan Stewart,CAR,RB,218,16.8,824,3.8,63.4,9,47,47,21.6,6,1,3
J.J. Nelson,ARI,WR,4,0.3,83,20.8,5.5,1,56T,3,75,1,1,0
Jonathan Williams,BUF,RB,27,2.5,94,3.5,8.5,1,20,6,22.2,1,0,2
Andy Janovich,DEN,FB,4,0.4,33,8.3,3,1,28T,2,50,1,0,0
Taiwan Jones,OAK,RB,1,0.1,-8,-8,-0.6,0,-8,0,0,0,0,0
Duke Johnson,CLE,RB,73,4.6,358,4.9,22.4,1,22,17,23.3,2,0,1
T.J. Yeldon,JAX,RB,130,8.7,465,3.6,31,1,16,21,16.2,0,0,2
Jalston Fowler,TEN,FB,1,0.1,3,3,0.2,0,3,0,0,0,0,0
Jeremy Maclin,KC,WR,1,0.1,-1,-1,-0.1,0,-1,0,0,0,0,0
Jamison Crowder,WAS,WR,2,0.1,-2,-1,-0.1,0,7,1,50,0,0,0
Marvin Jones,DET,WR,1,0.1,3,3,0.2,0,3,0,0,0,0,0
Chris Jones,DAL,P,1,0.1,30,30,1.9,0,30,1,100,1,0,0
Jerick McKinnon,MIN,RB,159,10.6,539,3.4,35.9,2,36,21,13.2,2,0,0
Jordan Howard,CHI,RB,252,16.8,"1,313",5.2,87.5,6,69,70,27.8,10,2,1
Joe Kerridge,GB,RB,1,0.1,0,0,0,0,0,0,0,0,0,0
Jameis Winston,TB,QB,53,3.3,165,3.1,10.3,1,14,10,18.9,0,0,4
Jacoby Brissett,NE,QB,16,5.3,83,5.2,27.7,1,27T,5,31.3,1,0,2
Jordan Norwood,DEN,WR,1,0.1,0,0,0,0,0,0,0,0,0,0
Jalen Richard,OAK,RB,83,5.2,491,5.9,30.7,1,75T,14,16.9,5,1,0
D.J. Foster,NE,RB,7,2.3,24,3.4,8,0,7,0,0,0,0,0
Julian Edelman,NE,WR,12,0.8,57,4.8,3.6,0,9,3,25,0,0,1
David Johnson,ARI,RB,293,18.3,"1,239",4.2,77.4,16,58T,72,24.6,6,2,5
Justin Forsett,DEN,RB,43,10.8,155,3.6,38.8,1,64,6,14,1,1,2
Jeff Janis,GB,WR,2,0.1,38,19,2.4,1,19T,2,100,0,0,0
James White,NE,RB,39,2.4,166,4.3,10.4,0,16,8,20.5,0,0,0
C.J. Spiller,NYJ,RB,3,0.8,9,3,2.2,0,4,2,66.7,0,0,0
Johnny Holton,OAK,WR,6,0.4,43,7.2,2.9,0,29,2,33.3,1,0,1
